Date,Time,Project,Activity_Description,Count,Manpower,Total_Downloads
30/03/2026,04:58 PM,MGVCL,O & M,31,314,475
30/03/2026,04:58 PM,MGVCL,DT Survey,36,314,475
30/03/2026,04:58 PM,MGVCL,Consumer Indexing,1,314,475
30/03/2026,04:58 PM,MGVCL,DT Meter Installation,18,314,475
30/03/2026,04:59 PM,DGVCL,DT Meter Installation,91,327,462
30/03/2026,04:59 PM,DGVCL,DT Survey,76,327,462
30/03/2026,04:59 PM,DGVCL,Merged CI MI,976,327,462
30/03/2026,04:59 PM,DGVCL,Meter Installation MI,215,327,462
30/03/2026,04:59 PM,DGVCL,New service Connection,491,327,462
30/03/2026,04:59 PM,DGVCL,O & M,44,327,462
30/03/2026,05:00 PM,Polaris,Consumer 1 PH   3 PH OM,254,1291,1512
30/03/2026,05:00 PM,Polaris,Consumer Indexing CI,4363,1291,1512
30/03/2026,05:00 PM,Polaris,DCU Installation,1,1291,1512
30/03/2026,05:00 PM,Polaris,DTR Meter Installation,110,1291,1512
30/03/2026,05:00 PM,Polaris,DTR Survey,26,1291,1512
30/03/2026,05:00 PM,Polaris,Feeder Meter Installation,5,1291,1512
30/03/2026,05:00 PM,Polaris,Feeder Survey,4,1291,1512
30/03/2026,05:00 PM,Polaris,HSE Declaration Form,965,1291,1512
30/03/2026,05:00 PM,Polaris,Meter Installation MI,3699,1291,1512
30/03/2026,05:00 PM,Polaris,New service Connection,351,1291,1512
30/03/2026,05:00 PM,Polaris,Re-Allocation,2,1291,1512
30/03/2026,05:00 PM,Polaris,Screening,11,1291,1512
30/03/2026,05:01 PM,GVPR,Consumer Meter Installation,1,35,50
30/03/2026,05:01 PM,GVPR,DT Meter Installation,121,35,50
30/03/2026,05:01 PM,GVPR,DT Survey,76,35,50
30/03/2026,05:01 PM,GVPR,Operations and Maintenance,3,35,50
30/03/2026,05:01 PM,GVPR,Operations and Maintenance -DT,5,35,50
30/03/2026,05:02 PM,APDCL7,New service Connection,117,395,717
30/03/2026,05:02 PM,APDCL7,Meter Installation[MI],767,395,717
30/03/2026,05:02 PM,APDCL7,O & M,288,395,717
30/03/2026,05:02 PM,APDCL7,DT OM,10,395,717
30/03/2026,08:37 PM,PVVNL,CMI through MI,2711,1398,2075
30/03/2026,08:37 PM,PVVNL,CMI through CI,2651,1398,2075
30/03/2026,08:37 PM,PVVNL,CI,403,1398,2075
30/03/2026,08:37 PM,PVVNL,New service Connection,820,1398,2075
30/03/2026,08:37 PM,PVVNL,O & M,167,1398,2075
30/03/2026,08:37 PM,PVVNL,DT Survey,182,1398,2075
30/03/2026,08:37 PM,PVVNL,DT O&M,11,1398,2075
30/03/2026,08:38 PM,MGVCL,New service Connection,424,372,524
30/03/2026,08:38 PM,MGVCL,Meter Installation,1882,372,524
30/03/2026,08:38 PM,MGVCL,Ticket Creation,11,372,524
30/03/2026,08:38 PM,MGVCL,O & M,45,372,524
30/03/2026,08:38 PM,MGVCL,DT Survey,53,372,524
30/03/2026,08:38 PM,MGVCL,Consumer Indexing,1,372,524
30/03/2026,08:38 PM,MGVCL,DT O&M,1,372,524
30/03/2026,08:38 PM,MGVCL,DT Meter Installation,57,372,524
30/03/2026,08:39 PM,DGVCL,DT Meter Installation,137,405,498
30/03/2026,08:39 PM,DGVCL,DT Survey,90,405,498
30/03/2026,08:39 PM,DGVCL,Merged CI MI,1268,405,498
30/03/2026,08:39 PM,DGVCL,Meter Installation MI,294,405,498
30/03/2026,08:39 PM,DGVCL,New service Connection,726,405,498
30/03/2026,08:39 PM,DGVCL,O & M,53,405,498
30/03/2026,08:40 PM,APDCL7,New service Connection,165,557,786
30/03/2026,08:40 PM,APDCL7,Meter Installation[MI],1253,557,786
30/03/2026,08:40 PM,APDCL7,O & M,641,557,786
30/03/2026,08:40 PM,APDCL7,DT OM,20,557,786
30/03/2026,08:41 PM,Polaris,Consumer 1 PH   3 PH OM,373,1345,1545
30/03/2026,08:41 PM,Polaris,Consumer Indexing CI,4919,1345,1545
30/03/2026,08:41 PM,Polaris,DCU Installation,1,1345,1545
30/03/2026,08:41 PM,Polaris,DTR Meter Installation,170,1345,1545
30/03/2026,08:41 PM,Polaris,DTR Survey,30,1345,1545
30/03/2026,08:41 PM,Polaris,Feeder Meter Installation,6,1345,1545
30/03/2026,08:41 PM,Polaris,Feeder Survey,5,1345,1545
30/03/2026,08:41 PM,Polaris,HSE Declaration Form,993,1345,1545
30/03/2026,08:41 PM,Polaris,Meter Installation MI,5094,1345,1545
30/03/2026,08:41 PM,Polaris,New service Connection,490,1345,1545
30/03/2026,08:41 PM,Polaris,Re-Allocation,3,1345,1545
30/03/2026,08:41 PM,Polaris,Screening,14,1345,1545
30/03/2026,08:41 PM,GVPR,Consumer Meter Installation,1,35,51
30/03/2026,08:41 PM,GVPR,DT Meter Installation,168,35,51
30/03/2026,08:41 PM,GVPR,DT Survey,86,35,51
30/03/2026,08:41 PM,GVPR,Operations and Maintenance,3,35,51
30/03/2026,08:41 PM,GVPR,Operations and Maintenance -DT,7,35,51
30/03/2026,08:58 PM,PVVNL,CMI through MI,2711,1399,2075
30/03/2026,08:58 PM,PVVNL,CMI through CI,2651,1399,2075
30/03/2026,08:58 PM,PVVNL,CI,403,1399,2075
30/03/2026,08:58 PM,PVVNL,New service Connection,820,1399,2075
30/03/2026,08:58 PM,PVVNL,O & M,170,1399,2075
30/03/2026,08:58 PM,PVVNL,DT Survey,182,1399,2075
30/03/2026,08:58 PM,PVVNL,DT O&M,13,1399,2075
30/03/2026,08:59 PM,MVVVNL,Consumer Indexing,1862,1110,1273
30/03/2026,08:59 PM,MVVVNL,DT Meter Installation,46,1110,1273
30/03/2026,08:59 PM,MVVVNL,DT O&M,34,1110,1273
30/03/2026,08:59 PM,MVVVNL,DT Survey,76,1110,1273
30/03/2026,08:59 PM,MVVVNL,Meter Installation,2736,1110,1273
30/03/2026,08:59 PM,MVVVNL,New service Connection,617,1110,1273
30/03/2026,08:59 PM,MVVVNL,O & M,540,1110,1273
01/04/2026,05:00 PM,PVVNL,CMI through MI,2447,1429,2120
01/04/2026,05:00 PM,PVVNL,CMI through CI,2393,1429,2120
01/04/2026,05:00 PM,PVVNL,CI,508,1429,2120
01/04/2026,05:00 PM,PVVNL,New service Connection,767,1429,2120
01/04/2026,05:00 PM,PVVNL,O & M,80,1429,2120
01/04/2026,05:00 PM,PVVNL,DT Survey,211,1429,2120
01/04/2026,05:00 PM,PVVNL,DT O&M,11,1429,2120
01/04/2026,05:03 PM,MVVVNL,Consumer Indexing,1798,1058,1276
01/04/2026,05:03 PM,MVVVNL,DT Meter Installation,24,1058,1276
01/04/2026,05:03 PM,MVVVNL,DT O&M,21,1058,1276
01/04/2026,05:03 PM,MVVVNL,DT Survey,51,1058,1276
01/04/2026,05:03 PM,MVVVNL,Meter Installation,1744,1058,1276
01/04/2026,05:03 PM,MVVVNL,New service Connection,446,1058,1276
01/04/2026,05:03 PM,MVVVNL,O & M,586,1058,1276
01/04/2026,05:05 PM,MGVCL,New service Connection,283,342,519
01/04/2026,05:05 PM,MGVCL,Meter Installation,1149,342,519
01/04/2026,05:05 PM,MGVCL,Ticket Creation,40,342,519
01/04/2026,05:05 PM,MGVCL,O & M,77,342,519
01/04/2026,05:05 PM,MGVCL,DT Survey,62,342,519
01/04/2026,05:05 PM,MGVCL,DT Meter Installation,29,342,519
01/04/2026,05:05 PM,DGVCL,DT Meter Installation,56,306,439
01/04/2026,05:05 PM,DGVCL,DT Survey,59,306,439
01/04/2026,05:05 PM,DGVCL,Merged CI MI,898,306,439
01/04/2026,05:05 PM,DGVCL,Meter Installation MI,203,306,439
01/04/2026,05:05 PM,DGVCL,New service Connection,462,306,439
01/04/2026,05:05 PM,DGVCL,O & M,24,306,439
01/04/2026,05:06 PM,APDCL7,New service Connection,87,353,686
01/04/2026,05:06 PM,APDCL7,Meter Installation[MI],586,353,686
01/04/2026,05:06 PM,APDCL7,O & M,446,353,686
01/04/2026,05:06 PM,APDCL7,DT Survey,3,353,686
01/04/2026,05:06 PM,APDCL7,DT OM,15,353,686
01/04/2026,05:06 PM,APDCL7,DT Meter Installation,3,353,686
01/04/2026,05:07 PM,Polaris,Consumer 1 PH   3 PH OM,63,1278,1520
01/04/2026,05:07 PM,Polaris,Consumer Indexing CI,3812,1278,1520
01/04/2026,05:07 PM,Polaris,DCU Installation,2,1278,1520
01/04/2026,05:07 PM,Polaris,DTR Meter Installation,159,1278,1520
01/04/2026,05:07 PM,Polaris,DTR Survey,33,1278,1520
01/04/2026,05:07 PM,Polaris,Feeder Meter Installation,3,1278,1520
01/04/2026,05:07 PM,Polaris,Feeder Survey,4,1278,1520
01/04/2026,05:07 PM,Polaris,HSE Declaration Form,947,1278,1520
01/04/2026,05:07 PM,Polaris,Meter Installation MI,2964,1278,1520
01/04/2026,05:07 PM,Polaris,New service Connection,357,1278,1520
01/04/2026,05:07 PM,Polaris,Preliminary DTR Survey ,6,1278,1520
01/04/2026,05:07 PM,Polaris,Re-Allocation,25,1278,1520
01/04/2026,05:07 PM,Polaris,Screening,40,1278,1520
01/04/2026,05:08 PM,GVPR,DT Meter Installation,91,35,38
01/04/2026,05:08 PM,GVPR,DT Survey,100,35,38
01/04/2026,05:08 PM,GVPR,NSC MI,1,35,38
01/04/2026,06:18 PM,PVVNL,CMI through MI,3044,1492,1939
01/04/2026,06:18 PM,PVVNL,CMI through CI,2701,1492,1939
01/04/2026,06:18 PM,PVVNL,CI,520,1492,1939
01/04/2026,06:18 PM,PVVNL,New service Connection,886,1492,1939
01/04/2026,06:18 PM,PVVNL,O & M,90,1492,1939
01/04/2026,06:18 PM,PVVNL,DT Survey,218,1492,1939
01/04/2026,06:18 PM,PVVNL,DT O&M,11,1492,1939
01/04/2026,06:18 PM,PVVNL,CMI through MI,3045,1492,1939
01/04/2026,06:18 PM,PVVNL,CMI through CI,2702,1492,1939
01/04/2026,06:18 PM,PVVNL,CI,520,1492,1939
01/04/2026,06:18 PM,PVVNL,New service Connection,887,1492,1939
01/04/2026,06:18 PM,PVVNL,O & M,91,1492,1939
01/04/2026,06:18 PM,PVVNL,DT Survey,218,1492,1939
01/04/2026,06:18 PM,PVVNL,DT O&M,11,1492,1939
01/04/2026,06:19 PM,Polaris,Consumer 1 PH   3 PH OM,79,1313,1542
01/04/2026,06:19 PM,Polaris,Consumer Indexing CI,4104,1313,1542
01/04/2026,06:19 PM,Polaris,DCU Installation,3,1313,1542
01/04/2026,06:19 PM,Polaris,DTR Meter Installation,189,1313,1542
01/04/2026,06:19 PM,Polaris,DTR Survey,34,1313,1542
01/04/2026,06:19 PM,Polaris,Feeder Meter Installation,3,1313,1542
01/04/2026,06:19 PM,Polaris,Feeder Survey,4,1313,1542
01/04/2026,06:19 PM,Polaris,HSE Declaration Form,968,1313,1542
01/04/2026,06:19 PM,Polaris,Meter Installation MI,3647,1313,1542
01/04/2026,06:19 PM,Polaris,New service Connection,417,1313,1542
01/04/2026,06:19 PM,Polaris,Preliminary DTR Survey ,6,1313,1542
01/04/2026,06:19 PM,Polaris,Re-Allocation,25,1313,1542
01/04/2026,06:19 PM,Polaris,Screening,42,1313,1542
01/04/2026,06:27 PM,PVVNL,CMI through MI,3068,1494,1946
01/04/2026,06:27 PM,PVVNL,CMI through CI,2721,1494,1946
01/04/2026,06:27 PM,PVVNL,CI,520,1494,1946
01/04/2026,06:27 PM,PVVNL,New service Connection,898,1494,1946
01/04/2026,06:27 PM,PVVNL,O & M,91,1494,1946
01/04/2026,06:27 PM,PVVNL,DT Survey,224,1494,1946
01/04/2026,06:27 PM,PVVNL,DT O&M,11,1494,1946
06/04/2026,05:27 PM,PVVNL,CMI through MI,1900,1306,2101
06/04/2026,05:27 PM,PVVNL,CMI through CI,2142,1306,2101
06/04/2026,05:27 PM,PVVNL,CI,491,1306,2101
06/04/2026,05:27 PM,PVVNL,New service Connection,867,1306,2101
06/04/2026,05:27 PM,PVVNL,O & M,125,1306,2101
06/04/2026,05:27 PM,PVVNL,DT Survey,170,1306,2101
06/04/2026,05:27 PM,PVVNL,MI Lite,1,1306,2101
06/04/2026,05:27 PM,PVVNL,DT O&M,8,1306,2101
06/04/2026,05:32 PM,MVVVNL,CMI,1673,926,1240
06/04/2026,05:32 PM,MVVVNL,Consumer Indexing,1244,926,1240
06/04/2026,05:32 PM,MVVVNL,DT Meter Installation,36,926,1240
06/04/2026,05:32 PM,MVVVNL,DT O&M,33,926,1240
06/04/2026,05:32 PM,MVVVNL,DT Survey,25,926,1240
06/04/2026,05:32 PM,MVVVNL,Meter Installation,1222,926,1240
06/04/2026,05:32 PM,MVVVNL,New service Connection,593,926,1240
06/04/2026,05:32 PM,MVVVNL,O & M,660,926,1240
06/04/2026,05:35 PM,MGVCL,New service Connection,265,394,567
06/04/2026,05:35 PM,MGVCL,Meter Installation,1820,394,567
06/04/2026,05:35 PM,MGVCL,Ticket Creation,41,394,567
06/04/2026,05:35 PM,MGVCL,O & M,76,394,567
06/04/2026,05:35 PM,MGVCL,DT Survey,72,394,567
06/04/2026,05:35 PM,MGVCL,Consumer Indexing,4,394,567
06/04/2026,05:35 PM,MGVCL,DT O&M,1,394,567
06/04/2026,05:35 PM,MGVCL,DT Meter Installation,49,394,567
06/04/2026,05:36 PM,DGVCL,DT Meter Installation,104,376,512
06/04/2026,05:36 PM,DGVCL,DT Survey,100,376,512
06/04/2026,05:36 PM,DGVCL,Merged CI MI,1212,376,512
06/04/2026,05:36 PM,DGVCL,Meter Installation MI,254,376,512
06/04/2026,05:36 PM,DGVCL,New service Connection,428,376,512
06/04/2026,05:36 PM,DGVCL,O & M,26,376,512
06/04/2026,05:36 PM,DGVCL,Ticket Creation,1,376,512
06/04/2026,05:37 PM,APDCL7,New service Connection,69,417,718
06/04/2026,05:37 PM,APDCL7,Meter Installation[MI],922,417,718
06/04/2026,05:37 PM,APDCL7,O & M,373,417,718
06/04/2026,05:37 PM,APDCL7,DT Survey,3,417,718
06/04/2026,05:37 PM,APDCL7,DT OM,18,417,718
06/04/2026,05:37 PM,APDCL7,Feeder O &M,1,417,718
06/04/2026,05:37 PM,Polaris,Consumer 1 PH   3 PH OM,62,1142,1369
06/04/2026,05:37 PM,Polaris,Consumer Indexing CI,3297,1142,1369
06/04/2026,05:37 PM,Polaris,DTR Meter Installation,92,1142,1369
06/04/2026,05:37 PM,Polaris,DTR Survey,9,1142,1369
06/04/2026,05:37 PM,Polaris,Feeder Meter Installation,3,1142,1369
06/04/2026,05:37 PM,Polaris,Feeder Survey,2,1142,1369
06/04/2026,05:37 PM,Polaris,HSE Declaration Form,851,1142,1369
06/04/2026,05:37 PM,Polaris,Meter Installation MI,2783,1142,1369
06/04/2026,05:37 PM,Polaris,New service Connection,393,1142,1369
06/04/2026,05:37 PM,Polaris,Re-Allocation,3,1142,1369
06/04/2026,05:37 PM,Polaris,Screening,44,1142,1369
06/04/2026,05:38 PM,GVPR,DT Meter Installation,125,39,49
06/04/2026,05:38 PM,GVPR,DT Survey,101,39,49
06/04/2026,05:38 PM,GVPR,NSC MI,6,39,49
06/04/2026,05:38 PM,GVPR,O and M GF (DT),2,39,49
06/04/2026,05:38 PM,GVPR,Solar Meter Installation,2,39,49
06/04/2026,07:53 PM,PVVNL,CMI through MI,2331,1404,2142
06/04/2026,07:53 PM,PVVNL,CMI through CI,2457,1404,2142
06/04/2026,07:53 PM,PVVNL,CI,500,1404,2142
06/04/2026,07:53 PM,PVVNL,New service Connection,1042,1404,2142
06/04/2026,07:53 PM,PVVNL,O & M,158,1404,2142
06/04/2026,07:53 PM,PVVNL,DT Survey,179,1404,2142
06/04/2026,07:53 PM,PVVNL,MI Lite,1,1404,2142
06/04/2026,07:53 PM,PVVNL,DT O&M,15,1404,2142
06/04/2026,07:53 PM,MVVVNL,CMI,2039,987,1262
06/04/2026,07:53 PM,MVVVNL,Consumer Indexing,1482,987,1262
06/04/2026,07:53 PM,MVVVNL,DT Meter Installation,55,987,1262
06/04/2026,07:53 PM,MVVVNL,DT O&M,50,987,1262
06/04/2026,07:53 PM,MVVVNL,DT Survey,28,987,1262
06/04/2026,07:53 PM,MVVVNL,Meter Installation,1743,987,1262
06/04/2026,07:53 PM,MVVVNL,New service Connection,755,987,1262
06/04/2026,07:53 PM,MVVVNL,O & M,768,987,1262
06/04/2026,08:03 PM,MGVCL,New service Connection,426,469,608
06/04/2026,08:03 PM,MGVCL,Meter Installation,2651,469,608
06/04/2026,08:03 PM,MGVCL,Ticket Creation,41,469,608
06/04/2026,08:03 PM,MGVCL,O & M,109,469,608
06/04/2026,08:03 PM,MGVCL,DT Survey,113,469,608
06/04/2026,08:03 PM,MGVCL,Consumer Indexing,4,469,608
06/04/2026,08:03 PM,MGVCL,DT O&M,2,469,608
06/04/2026,08:03 PM,MGVCL,DT Meter Installation,114,469,608
06/04/2026,08:05 PM,DGVCL,DT Meter Installation,124,419,533
06/04/2026,08:05 PM,DGVCL,DT Survey,108,419,533
06/04/2026,08:05 PM,DGVCL,Merged CI MI,1465,419,533
06/04/2026,08:05 PM,DGVCL,Meter Installation MI,293,419,533
06/04/2026,08:05 PM,DGVCL,New service Connection,609,419,533
06/04/2026,08:05 PM,DGVCL,O & M,46,419,533
06/04/2026,08:05 PM,DGVCL,Ticket Creation,1,419,533
06/04/2026,08:06 PM,APDCL7,New service Connection,103,564,767
06/04/2026,08:06 PM,APDCL7,Meter Installation[MI],1428,564,767
06/04/2026,08:06 PM,APDCL7,O & M,501,564,767
06/04/2026,08:06 PM,APDCL7,DT Survey,3,564,767
06/04/2026,08:06 PM,APDCL7,DT OM,30,564,767
06/04/2026,08:06 PM,APDCL7,Feeder O &M,1,564,767
06/04/2026,08:06 PM,APDCL7,DT Meter Installation,1,564,767
06/04/2026,08:08 PM,Polaris,Consumer 1 PH   3 PH OM,82,1185,1403
06/04/2026,08:08 PM,Polaris,Consumer Indexing CI,3529,1185,1403
06/04/2026,08:08 PM,Polaris,DTR Meter Installation,104,1185,1403
06/04/2026,08:08 PM,Polaris,DTR Survey,13,1185,1403
06/04/2026,08:08 PM,Polaris,Feeder Meter Installation,3,1185,1403
06/04/2026,08:08 PM,Polaris,Feeder Survey,2,1185,1403
06/04/2026,08:08 PM,Polaris,HSE Declaration Form,877,1185,1403
06/04/2026,08:08 PM,Polaris,Meter Installation MI,3477,1185,1403
06/04/2026,08:08 PM,Polaris,New service Connection,476,1185,1403
06/04/2026,08:08 PM,Polaris,Re-Allocation,3,1185,1403
06/04/2026,08:08 PM,Polaris,Screening,46,1185,1403
06/04/2026,08:11 PM,GVPR,DT Meter Installation,152,41,52
06/04/2026,08:11 PM,GVPR,DT Survey,113,41,52
06/04/2026,08:11 PM,GVPR,NSC MI,6,41,52
06/04/2026,08:11 PM,GVPR,O and M GF (DT),2,41,52
06/04/2026,08:11 PM,GVPR,Solar Meter Installation,2,41,52
07/04/2026,02:01 PM,PVVNL,CMI through MI,739,1047,1664
07/04/2026,02:01 PM,PVVNL,CMI through CI,1100,1047,1664
07/04/2026,02:01 PM,PVVNL,CI,399,1047,1664
07/04/2026,02:01 PM,PVVNL,New service Connection,482,1047,1664
07/04/2026,02:01 PM,PVVNL,O & M,110,1047,1664
07/04/2026,02:01 PM,PVVNL,DT Survey,84,1047,1664
07/04/2026,02:01 PM,PVVNL,Feeder Survey,1,1047,1664
07/04/2026,02:01 PM,PVVNL,DT O&M,4,1047,1664
07/04/2026,02:05 PM,Polaris,Consumer 1 PH   3 PH OM,62,1028,1283
07/04/2026,02:05 PM,Polaris,Consumer Indexing CI,1956,1028,1283
07/04/2026,02:05 PM,Polaris,DTR Meter Installation,20,1028,1283
07/04/2026,02:05 PM,Polaris,DTR Survey,27,1028,1283
07/04/2026,02:05 PM,Polaris,HSE Declaration Form,782,1028,1283
07/04/2026,02:05 PM,Polaris,Meter Installation MI,1209,1028,1283
07/04/2026,02:05 PM,Polaris,New service Connection,220,1028,1283
07/04/2026,02:05 PM,Polaris,Preliminary DTR Survey ,3,1028,1283
07/04/2026,02:05 PM,Polaris,Re-Allocation,1,1028,1283
07/04/2026,02:05 PM,Polaris,Screening,5,1028,1283
07/04/2026,02:11 PM,PVVNL,CMI through MI,782,1070,1676
07/04/2026,02:11 PM,PVVNL,CMI through CI,1168,1070,1676
07/04/2026,02:11 PM,PVVNL,CI,403,1070,1676
07/04/2026,02:11 PM,PVVNL,New service Connection,500,1070,1676
07/04/2026,02:11 PM,PVVNL,O & M,111,1070,1676
07/04/2026,02:11 PM,PVVNL,DT Survey,87,1070,1676
07/04/2026,02:11 PM,PVVNL,Feeder Survey,1,1070,1676
07/04/2026,02:11 PM,PVVNL,DT O&M,4,1070,1676
07/04/2026,02:33 PM,PVVNL,CMI through MI,964,1109,1696
07/04/2026,02:33 PM,PVVNL,CMI through CI,1309,1109,1696
07/04/2026,02:33 PM,PVVNL,CI,417,1109,1696
